Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
"Other/Preparations of vegetables, fruit, nuts",2018-10-30,2018,Q4,10,30,2018-11-02,Turkey,2018-11-04,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1000
"Other/Preparations of vegetables, fruit, nuts",2018-11-01,2018,Q4,11,1,2018-11-01,Turkey,2018-10-19,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,1602
"Other/Preparations of vegetables, fruit, nuts",2018-11-01,2018,Q4,11,1,2018-11-01,Turkey,2018-10-19,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,1811
"Other/Preparations of vegetables, fruit, nuts",2018-11-01,2018,Q4,11,1,2018-11-06,United States,2018-11-05,For import,200819,"Other than 2008 11, including mixtures",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,12764
"Other/Preparations of vegetables, fruit, nuts",2018-11-01,2018,Q4,11,1,2018-11-09,Turkey,2018-11-05,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3000
"Other/Preparations of vegetables, fruit, nuts",2018-11-02,2018,Q4,11,2,2018-11-04,Turkey,2018-11-04,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,20000
"Other/Preparations of vegetables, fruit, nuts",2018-11-02,2018,Q4,11,2,2018-11-06,Turkey,2018-10-13,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,504
"Other/Preparations of vegetables, fruit, nuts",2018-11-02,2018,Q4,11,2,2018-11-07,Turkey,2018-11-04,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2018-11-02,2018,Q4,11,2,2018-11-21,Japan,2018-11-18,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,1800
"Other/Preparations of vegetables, fruit, nuts",2018-11-05,2018,Q4,11,5,2018-11-05,Argentina,2018-11-09,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,20000
"Other/Preparations of vegetables, fruit, nuts",2018-11-05,2018,Q4,11,5,2018-11-07,Lebanon,2018-11-09,For import,2001909711,Not containing added sugar,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1740
"Other/Preparations of vegetables, fruit, nuts",2018-11-06,2018,Q4,11,6,2018-11-07,Japan,2018-11-07,For import,20055100,"Beans, shelled",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,8
"Other/Preparations of vegetables, fruit, nuts",2018-11-06,2018,Q4,11,6,2018-11-07,Japan,2018-11-07,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,36
"Other/Preparations of vegetables, fruit, nuts",2018-11-06,2018,Q4,11,6,2018-11-07,Turkey,2018-10-31,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,9500
"Other/Preparations of vegetables, fruit, nuts",2018-11-06,2018,Q4,11,6,2018-11-08,Turkey,2018-11-04,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,873
