Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
"Other/Preparations of vegetables, fruit, nuts",2019-03-13,2019,Q1,3,13,2019-04-12,Turkey,2019-03-16,For import,2008999990,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B2,Satisfactory,Human consumption,-,-,London Gateway,1,10805
"Other/Preparations of vegetables, fruit, nuts",2019-03-13,2019,Q1,3,13,2019-04-12,Turkey,2019-03-16,For import,2008999990,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G1,Satisfactory,Human consumption,-,-,London Gateway,1,10805
"Other/Preparations of vegetables, fruit, nuts",2019-03-13,2019,Q1,3,13,2019-04-12,Turkey,2019-03-16,For import,2008999990,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G2,Satisfactory,Human consumption,-,-,London Gateway,1,10805
"Other/Preparations of vegetables, fruit, nuts",2019-03-18,2019,Q1,3,18,2019-04-02,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22220
"Other/Preparations of vegetables, fruit, nuts",2019-03-18,2019,Q1,3,18,2019-04-02,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21840
"Other/Preparations of vegetables, fruit, nuts",2019-03-18,2019,Q1,3,18,2019-04-02,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22060
"Other/Preparations of vegetables, fruit, nuts",2019-03-18,2019,Q1,3,18,2019-04-02,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22020
"Other/Preparations of vegetables, fruit, nuts",2019-03-18,2019,Q1,3,18,2019-04-02,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21980
"Other/Preparations of vegetables, fruit, nuts",2019-03-18,2019,Q1,3,18,2019-04-02,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21940
"Other/Preparations of vegetables, fruit, nuts",2019-03-18,2019,Q1,3,18,2019-04-02,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21940
"Other/Preparations of vegetables, fruit, nuts",2019-03-19,2019,Q1,3,19,2019-04-02,Turkey,2019-03-23,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,12000
"Other/Preparations of vegetables, fruit, nuts",2019-03-25,2019,Q1,3,25,2019-04-04,Turkey,2019-03-25,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2019-03-26,2019,Q1,3,26,2019-04-02,Japan,2019-03-31,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,1440
"Other/Preparations of vegetables, fruit, nuts",2019-03-29,2019,Q1,3,29,2019-04-02,Japan,2019-03-21,For import,20049098,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,20
"Other/Preparations of vegetables, fruit, nuts",2019-03-29,2019,Q1,3,29,2019-04-09,Japan,2019-04-08,For import,20049098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,121
"Other/Preparations of vegetables, fruit, nuts",2019-03-29,2019,Q1,3,29,2019-04-09,Japan,2019-04-08,For import,20049098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,27
"Other/Preparations of vegetables, fruit, nuts",2019-04-01,2019,Q2,4,1,2019-04-02,Turkey,2019-04-01,For import,20085098,Of less than 5|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,5
"Other/Preparations of vegetables, fruit, nuts",2019-04-01,2019,Q2,4,1,2019-04-30,Lebanon,2019-03-28,For import,2001909711,Not containing added sugar,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,.DYES,Not satisfactory,-,Destruction,Chemical contamination,"Felixstowe, P",1,2780
"Other/Preparations of vegetables, fruit, nuts",2019-04-01,2019,Q2,4,1,2019-04-30,Lebanon,2019-03-28,For import,2001909711,Not containing added sugar,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,.DYES,Satisfactory,-,Destruction,Chemical contamination,"Felixstowe, P",1,2780
"Other/Preparations of vegetables, fruit, nuts",2019-04-02,2019,Q2,4,2,2019-04-03,Turkey,2019-03-25,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,5850
"Other/Preparations of vegetables, fruit, nuts",2019-04-02,2019,Q2,4,2,2019-04-03,Syrian Arab Republic,2019-04-04,For import,2001909711,Not containing added sugar,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5
"Other/Preparations of vegetables, fruit, nuts",2019-04-02,2019,Q2,4,2,2019-04-15,Turkey,2019-03-25,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,3280
"Other/Preparations of vegetables, fruit, nuts",2019-04-03,2019,Q2,4,3,2019-04-04,Argentina,2019-02-20,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Not satisfactory,-,Destruction,/,/,no,-,-,-,-,Absence/Invalid certificate (if applicable), ,1,25250
"Other/Preparations of vegetables, fruit, nuts",2019-04-03,2019,Q2,4,3,2019-04-26,Turkey,2019-04-12,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,21000
"Other/Preparations of vegetables, fruit, nuts",2019-04-04,2019,Q2,4,4,2019-04-15,Argentina,2019-03-29,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,22360
"Other/Preparations of vegetables, fruit, nuts",2019-04-05,2019,Q2,4,5,2019-04-23,India,2019-04-10,For import,20081110,Peanut butter,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,23400
"Other/Preparations of vegetables, fruit, nuts",2019-04-08,2019,Q2,4,8,2019-04-10,Turkey,2019-04-11,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2000
"Other/Preparations of vegetables, fruit, nuts",2019-04-08,2019,Q2,4,8,2019-04-10,Turkey,2019-04-11,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2000
"Other/Preparations of vegetables, fruit, nuts",2019-04-08,2019,Q2,4,8,2019-04-10,Turkey,2019-04-11,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2000
"Other/Preparations of vegetables, fruit, nuts",2019-04-08,2019,Q2,4,8,2019-04-12,China,2019-04-13,For import,200811,Groundnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2500
"Other/Preparations of vegetables, fruit, nuts",2019-04-08,2019,Q2,4,8,2019-04-20,Japan,2019-04-21,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,2700
