DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-10-30,2018,Q4,Oct,30,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,320,4000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-30,2018,Q4,Oct,30,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,50,1000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-01,2018,Q4,Nov,1,2018-11,TR,London Gateway,GB,Turkey,GB,GB,2008999960,Figs,801,1602,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-11-01,2018,Q4,Nov,1,2018-11,TR,London Gateway,GB,Turkey,GB,GB,2008999960,Figs,1207,1811,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-01,2018,Q4,Nov,1,2018-11,US,"Southampton, P",GB,United States,GB,GB,200819,"Other than 2008 11, including mixtures",720,12764,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-01,2018,Q4,Nov,1,2018-11,TR,"Southampton, P",GB,Turkey,GB,GB,20081919,Other,120,3000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-02,2018,Q4,Nov,2,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,800,20000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-02,2018,Q4,Nov,2,2018-11,TR,"Southampton, P",GB,Turkey,GB,GB,20081919,Other,100,504,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-02,2018,Q4,Nov,2,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-02,2018,Q4,Nov,2,2018-11,JP,"Southampton, P",GB,Japan,GB,GB,20059100,Bamboo shoots,100,1800,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-05,2018,Q4,Nov,5,2018-11,AR,London Gateway,GB,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,800,20000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-05,2018,Q4,Nov,5,2018-11,LB,"Felixstowe, P",GB,Lebanon,GB,GB,2001909711,Not containing added sugar,174,1740,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-06,2018,Q4,Nov,6,2018-11,JP,"Southampton, P",GB,Japan,GB,GB,20055100,"Beans, shelled",1,8,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-06,2018,Q4,Nov,6,2018-11,JP,"Southampton, P",GB,Japan,GB,GB,20059100,Bamboo shoots,2,36,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-06,2018,Q4,Nov,6,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,380,9500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-06,2018,Q4,Nov,6,2018-11,TR,London Gateway,GB,Turkey,GB,GB,2008999960,Figs,582,873,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-06,2018,Q4,Nov,6,2018-11,TR,London Gateway,GB,Turkey,GB,GB,2008999960,Figs,536,1072,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-06,2018,Q4,Nov,6,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",440,1848,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-06,2018,Q4,Nov,6,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",1092,2490,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-07,2018,Q4,Nov,7,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,480,6000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-07,2018,Q4,Nov,7,2018-11,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081995,Other,50,120,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-07,2018,Q4,Nov,7,2018-11,JP,"Southampton, P",GB,Japan,GB,GB,20049098,Other,1390,3369,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Radionuclides,Satisfactory,Human consumption,-,-,1
2018-11-08,2018,Q4,Nov,8,2018-11,IN,"Felixstowe, P",GB,India,GB,GB,20081198,In immediate packings of a net content not exceeding 1|kg,98,784,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
