DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,486,4860,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Aflatoxin B1,Not satisfactory,-,Re-dispatching,Chemical contamination,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,486,4860,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Aflatoxin B2,Satisfactory,-,Re-dispatching,Chemical contamination,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,486,4860,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Aflatoxin G1,Satisfactory,-,Re-dispatching,Chemical contamination,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,486,4860,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Aflatoxin G2,Satisfactory,-,Re-dispatching,Chemical contamination,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,486,4860,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Aflatoxins,Not satisfactory,-,Re-dispatching,Chemical contamination,1
2018-10-12,2018,Q4,Oct,12,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,120,1500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-12,2018,Q4,Oct,12,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,220,5500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-12,2018,Q4,Oct,12,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,280,7000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-12,2018,Q4,Oct,12,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",25,500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-12,2018,Q4,Oct,12,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,300,7500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-16,2018,Q4,Oct,16,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,320,8000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-16,2018,Q4,Oct,16,2018-10,CN,Heathrow,GB,China,GB,GB,20081999,Other,36,216,Human consumption,Not satisfactory,-,Destruction,Not satisfactory,/,no,-,-,-,-,-,1
2018-10-17,2018,Q4,Oct,17,2018-10,AR,London Gateway,GB,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,24,20400,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-17,2018,Q4,Oct,17,2018-10,AR,London Gateway,GB,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,24,20400,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-17,2018,Q4,Oct,17,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,1750,17500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-17,2018,Q4,Oct,17,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,38,22500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-18,2018,Q4,Oct,18,2018-10,CN,"Felixstowe, P",NL,China,NL,GB,20081191,In immediate packings of a net content exceeding 1|kg,1189,17835,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-18,2018,Q4,Oct,18,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,20049098,Other,1390,3369,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-18,2018,Q4,Oct,18,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,20081196,"In immediate packings of a net content not exceeding 1|kg, Roasted",120,1080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
