CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-05-27,2020,Q2,5,27,India,2020-05-26,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2500,2800,No,-,-,2020-05-28,2020,Q2,5,28
"Coffee, tea, mate and spices",2020-05-27,2020,Q2,5,27,India,2020-05-26,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,4817,5427,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-27,2020,Q2,5,27,India,2020-05-26,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3825,4097,No,-,-,2020-05-28,2020,Q2,5,28
"Coffee, tea, mate and spices",2020-05-27,2020,Q2,5,27,India,2020-05-26,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3175,No,-,-,2020-05-28,2020,Q2,5,28
"Coffee, tea, mate and spices",2020-05-28,2020,Q2,5,28,China,2020-05-28,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-05-29,2020,Q2,5,29
"Coffee, tea, mate and spices",2020-05-28,2020,Q2,5,28,India,2020-05-28,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7000,7203,No,-,-,2020-06-09,2020,Q2,6,9
"Coffee, tea, mate and spices",2020-05-28,2020,Q2,5,28,China,2020-06-02,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,20000,20280,No,-,-,2020-06-12,2020,Q2,6,12
"Coffee, tea, mate and spices",2020-05-28,2020,Q2,5,28,China,2020-06-02,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,20000,20280,No,-,-,2020-06-01,2020,Q2,6,1
"Coffee, tea, mate and spices",2020-05-29,2020,Q2,5,29,China,2020-05-29,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,40,47,No,-,-,2020-06-01,2020,Q2,6,1
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-23,904220019,Other,No,-,No,-,No,-,No,-,20000,20200,No,-,-,,2020,Q2,5,
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-23,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),No,-,No,-,No,-,No,-,122,167,No,-,-,,2020,Q2,5,
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-23,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),No,-,No,-,No,-,No,-,122,167,No,-,-,,2020,Q2,5,
Edible fruits and nuts,2020-05-07,2020,Q2,5,7,United States,2020-05-18,8025200,Shelled,Yes,Satisfactory,No,-,No,-,No,-,19958,20113,No,-,-,2020-05-19,2020,Q2,5,19
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-05,80620,Dried,Yes,Satisfactory,No,-,No,-,No,-,20000,20800,No,-,-,2020-05-04,2020,Q2,5,4
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-05,80620,Dried,Yes,Satisfactory,No,-,No,-,No,-,20000,20800,No,-,-,2020-05-04,2020,Q2,5,4
Edible fruits and nuts,2020-05-05,2020,Q2,5,5,Turkey,2020-05-05,8062090,Other,Yes,Satisfactory,No,-,No,-,No,-,7500,7941,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-05,2020,Q2,5,5,Turkey,2020-05-05,8062030,Sultanas,Yes,Satisfactory,No,-,No,-,No,-,4458,4720,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-05,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,1824,2021,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-04,2020,Q2,5,4,Turkey,2020-05-06,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,585,649,No,-,-,2020-05-06,2020,Q2,5,6
Edible fruits and nuts,2020-05-04,2020,Q2,5,4,Turkey,2020-05-06,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,900,994,No,-,-,2020-05-06,2020,Q2,5,6
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-04-30,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,20000,20800,No,-,-,2020-05-01,2020,Q2,5,1
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-04-30,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,4000,4160,No,-,-,2020-05-01,2020,Q2,5,1
Edible fruits and nuts,2020-05-04,2020,Q2,5,4,Turkey,2020-05-05,8062090,Other,Yes,Satisfactory,No,-,No,-,No,-,378,1658,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-04-30,80620,Dried,Yes,Satisfactory,No,-,No,-,No,-,18000,18720,No,-,-,2020-05-01,2020,Q2,5,1
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-04-30,80620,Dried,Yes,Satisfactory,No,-,No,-,No,-,20000,20800,No,-,-,2020-05-01,2020,Q2,5,1
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-06,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,96,120,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-04,2020,Q2,5,4,Turkey,2020-05-05,806203090,Other,Yes,Satisfactory,No,-,No,-,No,-,13500,15041,No,-,-,2020-05-12,2020,Q2,5,12
Edible fruits and nuts,2020-05-05,2020,Q2,5,5,Turkey,2020-04-23,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,9677,11037,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-05,2020,Q2,5,5,Turkey,2020-04-23,8131000,Apricots,Yes,Satisfactory,No,-,No,-,No,-,3000,3120,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-06,806203090,Other,Yes,Satisfactory,No,-,No,-,No,-,22032,23409,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-06,8062090,Other,Yes,Satisfactory,No,-,No,-,No,-,22032,23409,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-06,8062090,Other,Yes,Satisfactory,No,-,No,-,No,-,22032,23409,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-04,806203090,Other,Yes,Satisfactory,No,-,No,-,No,-,20000,20800,No,-,-,2020-05-04,2020,Q2,5,4
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-06-06,8062030,Sultanas,Yes,Satisfactory,No,-,No,-,No,-,17100,17955,No,-,-,2020-05-05,2020,Q2,5,5
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-04,8062090,Other,Yes,Satisfactory,No,-,No,-,No,-,16000,16640,No,-,-,2020-05-04,2020,Q2,5,4
Edible fruits and nuts,2020-05-01,2020,Q2,5,1,Turkey,2020-05-06,8062090,Other,Yes,Satisfactory,No,-,No,-,No,-,21000,21840,No,-,-,2020-05-05,2020,Q2,5,5
