DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-09-07,2017,Q3,Sep,7,2017-09,,AU,"Southampton, P",AU,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,8,44.76,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,AU,"Southampton, P",AU,China,GB,GB,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",6,34,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,CN,Port of Tyne (CED),CN,China,GB,GB,9024000,Other black tea (fermented) and other partly fermented tea,200,9480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,320,3840,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,sulphites,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,IN,"Felixstowe, P",IN,India,GB,GB,9042200,Crushed or ground,580,14500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,1720,10320,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,sulphites,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,CN,Heathrow,CN,China,GB,GB,9022000,Other green tea (not fermented),6,150,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,AR,"Felixstowe, P",AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24980,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Feedingstuff,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,AR,"Felixstowe, P",AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24980,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B2,satisfactory,Feedingstuff,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,AR,"Felixstowe, P",AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24980,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G1,satisfactory,Feedingstuff,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,AR,"Felixstowe, P",AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24980,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G2,satisfactory,Feedingstuff,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,GH,London Gateway,GH,Ghana,GB,GB,15119099,Other,1224,14688,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,CN,"Felixstowe, P",CN,China,NL,GB,12024100,In shell,600,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,CN,"Felixstowe, P",CN,China,NL,GB,12024100,In shell,600,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B2,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,CN,"Felixstowe, P",CN,China,NL,GB,12024100,In shell,600,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G1,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,CN,"Felixstowe, P",CN,China,NL,GB,12024100,In shell,600,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G2,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,CN,"Felixstowe, P",CN,China,NL,GB,12024100,In shell,600,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,IN,Heathrow,IN,India,GB,GB,14049000,Other,100,500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-09,,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25020,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-09-07,2017,Q3,Sep,7,2017-10,,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,960,24000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),7,336,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,DO,Heathrow,DO,Dominican Republic,GB,GB,7096099,Other,239,870,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,DO,Heathrow,DO,Dominican Republic,GB,GB,7096099,Other,200,728,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,GH,London Gateway,GH,Ghana,GB,GB,15119099,Other,1395,15720,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
