CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-11-19,2020,Q4,11,19,India,2020-11-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,17000,17153,No,-,-,2020-11-19,2020,Q4,11,19
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,8000,8600,No,-,-,2020-11-07,2020,Q4,11,7
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,6000,6340,No,-,-,2020-11-07,2020,Q4,11,7
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1200,1320,No,-,-,2020-11-07,2020,Q4,11,7
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,India,2020-11-07,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1500,1840,No,-,-,2020-11-17,2020,Q4,11,17
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,840,1072,No,-,-,2020-11-08,2020,Q4,11,8
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,China,2020-11-11,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1368,3249,No,-,-,2020-11-25,2020,Q4,11,25
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3048,No,-,-,2020-11-10,2020,Q4,11,10
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,950,965,No,-,-,2020-11-10,2020,Q4,11,10
"Coffee, tea, mate and spices",2020-11-18,2020,Q4,11,18,India,2020-11-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1470,1795,No,-,-,2020-11-18,2020,Q4,11,18
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-11-08,904220019,Other,No,-,No,-,No,-,No,-,1200,1450,No,-,-,,2020,Q4,11,9
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,India,2020-11-14,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,16500,16731,No,-,-,2020-11-16,2020,Q4,11,16
"Coffee, tea, mate and spices",2020-11-12,2020,Q4,11,12,China,2020-11-09,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,15,16,No,-,-,2020-11-12,2020,Q4,11,12
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,India,2020-11-14,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,5000,5105,No,-,-,2020-11-17,2020,Q4,11,17
"Coffee, tea, mate and spices",2020-11-12,2020,Q4,11,12,China,2020-11-02,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,75,85,No,-,-,2020-11-12,2020,Q4,11,12
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5200,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4000,4160,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2000,2100,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,500,525,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2000,2100,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904220019,Other,No,-,No,-,No,-,No,-,3000,3120,No,-,-,,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,6000,6240,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,India,2020-11-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3250,3380,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-14,2020,Q4,11,14,China,2020-11-14,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,415,480,No,-,-,2020-11-14,2020,Q4,11,14
"Coffee, tea, mate and spices",2020-11-19,2020,Q4,11,19,India,2020-11-12,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,900,1031,No,-,-,2020-11-19,2020,Q4,11,19
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-11-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,660,699,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-11-12,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,300,315,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-11-12,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,240,292,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-11-12,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,210,256,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,India,2020-11-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4000,4072,No,-,-,2020-11-16,2020,Q4,11,16
"Coffee, tea, mate and spices",2020-11-20,2020,Q4,11,20,India,2020-11-09,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,5000,5090,No,-,-,2020-11-20,2020,Q4,11,20
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,India,2020-10-27,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3000,3030,No,-,-,2020-11-17,2020,Q4,11,17
"Coffee, tea, mate and spices",2020-11-23,2020,Q4,11,23,China,2020-11-30,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,132,206,No,-,-,2020-11-25,2020,Q4,11,25
"Coffee, tea, mate and spices",2020-11-11,2020,Q4,11,11,India,2020-10-27,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,660,908,No,-,-,2020-11-11,2020,Q4,11,11
