CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,China,2020-09-08,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,625,719,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4696,5166,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-08,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,8000,8600,No,-,Emergency measures,2020-09-29,2020,Q3,9,40
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7800,8242,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-08-31,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3000,3012,No,-,Emergency measures,2020-09-22,2020,Q3,9,39
"Coffee, tea, mate and spices",2020-09-28,2020,Q3,9,28,India,2020-09-11,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,250,350,No,-,-,2020-09-28,2020,Q3,9,40
"Coffee, tea, mate and spices",2020-09-22,2020,Q3,9,22,India,2020-08-31,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1000,1004,No,-,-,2020-09-22,2020,Q3,9,39
"Coffee, tea, mate and spices",2020-09-22,2020,Q3,9,22,India,2020-08-31,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1500,1506,No,-,-,2020-09-22,2020,Q3,9,39
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-12,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,5000,5050,No,-,Emergency measures,2020-10-06,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2000,2020,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-12,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,16000,16160,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,China,2020-09-08,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,22000,22284,No,-,-,2020-09-16,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,India,2020-09-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4800,5040,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,China,2020-09-17,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,20800,21430,No,-,Temporary increase of controls,2020-10-02,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,India,2020-09-13,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,16500,16731,No,-,-,2020-09-11,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-16,2020,Q3,9,16,India,2020-09-06,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,640,740,No,-,-,2020-09-17,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,India,2020-09-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,24496,No,-,-,2020-09-14,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,China,2020-09-14,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,192,443,No,-,-,2020-09-12,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-30,2020,Q3,9,30,Ethiopia,2020-09-05,9109190,Crushed or ground,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,200,205,No,-,Emergency measures,2020-10-09,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,China,2020-09-14,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1653,2366,No,-,Temporary increase of controls,2020-09-25,2020,Q3,9,39
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-12,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,25000,25250,No,-,Emergency measures,2020-09-30,2020,Q3,9,40
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-13,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3054,No,-,-,2020-09-14,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-13,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,5000,5072,No,-,-,2020-09-14,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-13,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,3000,3043,No,-,-,2020-09-14,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-26,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,10000,10100,No,-,-,2020-09-26,2020,Q3,9,39
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-26,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,7000,7070,No,-,Emergency measures,2020-10-12,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-09-15,2020,Q3,9,15,India,2020-08-21,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5076,No,-,-,2020-09-16,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,China,2020-08-31,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,56,56,No,-,-,2020-09-14,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-11,2020,Q3,9,11,China,2020-09-13,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,120,138,No,-,-,2020-09-14,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-11,2020,Q3,9,11,Pakistan,2020-09-11,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,12778,17491,No,-,-,2020-09-14,2020,Q3,9,38
