DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,19059055,Extruded or expanded products savoury or salted,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,21031000,Soya sauce,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,21031000,Soya sauce,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,21039010,Mango chutney liquid,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,21039010,Mango chutney liquid,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,22090091,2|litres or less,2,12,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,20,96,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,20,96,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Eschericia coli,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,20,96,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Listeria spp (excl L. monocytogenes),satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,20,96,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,1920,48000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,1920,48000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TR,Liverpool,TR,Turkey,GB,GB,08131000,Apricots,1560,6240,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TR,Liverpool,TR,Turkey,GB,GB,08042090,Dried,960,3840,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TR,Liverpool,TR,Turkey,GB,GB,08042090,Dried,960,3840,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TR,Liverpool,TR,Turkey,GB,GB,08042090,Dried,504,1260,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TR,Liverpool,TR,Turkey,GB,GB,08131000,Apricots,5396,11490,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,KE,Stansted,KE,Kenya,IE,IE,07081000,Peas (Pisum sativum),180,270,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,560,14000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,120,3000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,120,3000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,350,1600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Southampton P,IN,India,GB,GB,09042190,Other,190,4750,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,CN,Felixstowe P,CN,China,GB,GB,00190230,Other pasta,50,480,Human consumption,Not Satisfactory,no,2. Destruction,Not Satisfactory,Not Done,No,-,-,-,destruction,1. Absence/Invalid certificate (if applicable),2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,CN,Felixstowe P,CN,China,GB,GB,00190230,Other pasta,50,480,Human consumption,Not Satisfactory,no,2. Destruction,Not Satisfactory,Not Done,No,-,-,-,destruction,6. Other create RASFF notification,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,14049000,Other,100,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,700,2500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TR,Felixstowe P,TR,Turkey,GB,GB,08042090,Dried,1600,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12074090,Other,20,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,760,19000,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,760,19000,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,760,19000,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,760,19000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
