Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
"Other/Preparations of vegetables, fruit, nuts",2019-12-31,2019,Q4,12,31,2020-01-15,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,12000
"Other/Preparations of vegetables, fruit, nuts",2020-01-02,2020,Q1,1,2,2020-01-04,Turkey,2019-12-28,For import,2008199980,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,75
"Other/Preparations of vegetables, fruit, nuts",2020-01-02,2020,Q1,1,2,2020-01-08,Argentina,2020-01-03,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,22100
"Other/Preparations of vegetables, fruit, nuts",2020-01-02,2020,Q1,1,2,2020-01-09,Japan,2019-12-29,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,900
"Other/Preparations of vegetables, fruit, nuts",2020-01-02,2020,Q1,1,2,2020-01-09,Japan,2019-12-29,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,900
"Other/Preparations of vegetables, fruit, nuts",2020-01-03,2020,Q1,1,3,2020-01-04,Turkey,2020-01-02,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,13000
"Other/Preparations of vegetables, fruit, nuts",2020-01-03,2020,Q1,1,3,2020-01-06,India,2019-12-20,For import,20081196,"In immediate packings of a net content not exceeding 1|kg, Roasted",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1680
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-07,Turkey,2020-01-07,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,11000
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-07,Turkey,2020-01-07,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,600
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-08,Turkey,2020-01-05,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,3000
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-09,Japan,2020-01-06,For import,20059100,Bamboo shoots,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-09,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-10,Japan,2020-01-09,For import,20059980,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,14
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-12,Turkey,2020-01-09,For import,20079939,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,4154
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-12,Turkey,2020-01-09,For import,20079939,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1848
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-14,Argentina,2020-01-17,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21920
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-14,Argentina,2020-01-17,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22100
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-14,Argentina,2020-01-17,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21940
"Other/Preparations of vegetables, fruit, nuts",2020-01-06,2020,Q1,1,6,2020-01-14,Argentina,2020-01-17,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-09,Turkey,2020-01-09,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5758
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,4000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,11000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,4000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,15000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-10,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1000
"Other/Preparations of vegetables, fruit, nuts",2020-01-07,2020,Q1,1,7,2020-01-16,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2020-01-08,2020,Q1,1,8,2020-01-08,Argentina,2019-12-15,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,20400
"Other/Preparations of vegetables, fruit, nuts",2020-01-08,2020,Q1,1,8,2020-01-10,United States,2020-01-08,For import,20081110,Peanut butter,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,92
"Other/Preparations of vegetables, fruit, nuts",2020-01-08,2020,Q1,1,8,2020-01-14,Argentina,2019-12-15,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,20400
"Other/Preparations of vegetables, fruit, nuts",2020-01-08,2020,Q1,1,8,2020-01-14,Turkey,2020-01-12,For import,2008199520,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,140
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-09,Japan,2020-01-08,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,4
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-09,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,12000
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-10,Turkey,2020-01-05,For import,2008191320,Pistachios,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,96
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-10,Turkey,2020-01-05,For import,2008199520,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,60
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-10,Turkey,2020-01-05,For import,2008191320,Pistachios,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,75
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-10,Turkey,2020-01-05,For import,2008199520,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,38
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-14,United States,2020-01-14,For import,20081110,Peanut butter,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,16329
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-16,Turkey,2020-01-09,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,11700
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-20,India,2020-01-17,For import,20081110,Peanut butter,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,23208
"Other/Preparations of vegetables, fruit, nuts",2020-01-09,2020,Q1,1,9,2020-01-28,Turkey,2020-01-03,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,5758
"Other/Preparations of vegetables, fruit, nuts",2020-01-10,2020,Q1,1,10,2020-01-20,Japan,2020-01-19,For import,20059100,Bamboo shoots,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,105
"Other/Preparations of vegetables, fruit, nuts",2020-01-10,2020,Q1,1,10,2020-01-21,Japan,2020-01-19,For import,20039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,20
"Other/Preparations of vegetables, fruit, nuts",2020-01-10,2020,Q1,1,10,2020-01-23,Japan,2020-01-19,For import,20039090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,96
"Other/Preparations of vegetables, fruit, nuts",2020-01-10,2020,Q1,1,10,2020-01-23,Japan,2020-01-19,For import,20039090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,96
